sIP,sport,dIP,dport,,timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd
150.57.248.121,443,1.233.210.106,4024,,0,0,1,0,0,0,1,0,0.198,0,0,0,0.0099,0.9901
1.233.210.106,4024,150.57.248.121,443,,0,1,0,0,0,1,0,0.198,0,0,0.0099,0.9901,0,0
150.57.172.44,8080,114.95.167.124,55285,,1,0,1,0.505,0,0,1,0,0.0297,0,0,0,0,1
114.95.167.124,55285,150.57.172.44,8080,,1,1,0,0,0.505,1,0,0.0297,0,0,0,1,0,0
150.57.248.121,80,180.212.241.122,61917,,1,0,1,0,0,0,1,0,0.1683,0,0,0,0,1
180.212.241.122,61917,150.57.248.121,80,,1,1,0,0,0,1,0,0.1683,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55284,,1,0,1,0.2673,0,0,1,0,0.0198,0,0,0,0,1
114.95.167.124,55284,150.57.172.44,8080,,1,1,0,0,0.2673,1,0,0.0198,0,0,0,1,0,0
210.193.44.119,63652,203.77.126.80,80,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203.77.126.80,80,210.193.44.119,63652,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,115.75.124.164,50728,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
115.75.124.164,50728,150.57.248.121,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.248.121,80,115.75.222.164,42201,,1,0,1,0,0,0,1,0,0,0,0,0,0,1
115.75.222.164,42201,150.57.248.121,80,,1,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55280,,1,0,1,0.4257,0,0,1,0,0.0297,0,0,0,0,1
114.95.167.124,55280,150.57.172.44,8080,,1,1,0,0,0.4257,1,0,0.0297,0,0,0,1,0,0
150.57.248.121,80,115.75.124.165,34055,,1,0,1,0,0,0,1,0,0.0792,0,0,0,0,0.9802
115.75.124.165,34055,150.57.248.121,80,,1,1,0,0,0,1,0,0.0792,0,0.0099,0,0.9802,0,0
150.57.172.44,8080,114.95.167.124,55302,,1,0,1,0.4059,0,0,1,0,0.0198,0,0,0,0,1
114.95.167.124,55302,150.57.172.44,8080,,1,1,0,0,0.4059,1,0,0.0198,0,0,0,1,0,0
172.249.25.181,443,133.27.10.200,63499,,1,0,1,0.1188,0,0,1,0,0.0099,0,0,0,0,1
133.27.10.200,63499,172.249.25.181,443,,1,1,0,0,0.1188,1,0,0.0099,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55301,,1,0,1,0.3366,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55301,150.57.172.44,8080,,1,1,0,0,0.3366,1,0,0,0,0,0,1,0,0
150.57.248.121,80,115.75.124.167,43700,,1,0,1,0,0,0,1,0,0.0891,0,0,0,0,0.9901
115.75.124.167,43700,150.57.248.121,80,,1,1,0,0,0,1,0,0.0891,0,0.0099,0,0.9901,0,0
150.57.248.121,443,101.30.224.224,50509,,0,0,1,0,0,0,1,0,0.4554,0,0,0,0.0099,0.9802
101.30.224.224,50509,150.57.248.121,443,,0,1,0,0,0,1,0,0.4554,0,0,0.0099,0.9802,0,0
150.57.248.121,80,153.198.112.222,34428,,1,0,1,0.2277,0,0,1,0,0.4356,0,0,0,0,1
153.198.112.222,34428,150.57.248.121,80,,1,1,0,0,0.2277,1,0,0.4356,0,0,0,1,0,0
150.57.248.121,80,27.102.10.218,52607,,0,0,1,0.4059,0,0,1,0,0.3366,0,0,0,0,0.9901
27.102.10.218,52607,150.57.248.121,80,,0,1,0,0,0.4059,1,0,0.3366,0,0,0,0.9901,0,0
150.57.248.121,80,203.72.161.129,4671,,1,0,1,0.4554,0,0,1,0,0.2376,0,0,0,0,1
203.72.161.129,4671,150.57.248.121,80,,1,1,0,0,0.4554,1,0,0.2376,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55281,,1,0,1,0.3663,0,0,1,0,0.0099,0,0,0,0,1
114.95.167.124,55281,150.57.172.44,8080,,1,1,0,0,0.3663,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,80,52.14.48.192,51054,,1,0,1,0,0,0,1,0,0.1485,0,0,0,0,0.9901
52.14.48.192,51054,150.57.248.121,80,,1,1,0,0,0,1,0,0.1485,0,0,0,0.9901,0,0
150.57.248.121,80,115.75.222.164,42212,,1,0,1,0,0,0,1,0,0.0099,0,0,0,0,1
115.75.222.164,42212,150.57.248.121,80,,1,1,0,0,0,1,0,0.0099,0,0,0,1,0,0
150.57.182.64,56421,155.153.54.212,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.153.54.212,80,150.57.182.64,56421,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.249.30.150,443,131.142.218.89,54276,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.142.218.89,54276,172.249.30.150,443,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,443,101.30.224.224,50476,,0,0,1,0,0,0,1,0,0.4356,0,0,0,0,0.9901
101.30.224.224,50476,150.57.248.121,443,,0,1,0,0,0,1,0,0.4356,0,0,0,0.9901,0,0
150.57.248.121,80,106.169.159.119,56963,,1,0,1,0,0,0,1,0,0.1584,0,0,0,0,1
106.169.159.119,56963,150.57.248.121,80,,1,1,0,0,0,1,0,0.1584,0,0,0,1,0,0
150.57.172.44,8080,114.95.167.124,55285,,1,0,1,0.3366,0,0,1,0,0,0,0,0,0,1
114.95.167.124,55285,150.57.172.44,8080,,1,1,0,0,0.3366,1,0,0,0,0,0,1,0,0
133.27.162.40,80,222.28.32.207,50404,,1,0,1,0,0,0,1,0,0.0495,0,0,0,0,0.9802
222.28.32.207,50404,133.27.162.40,80,,1,1,0,0,0,1,0,0.0495,0,0,0,0.9802,0,0
203.77.116.218,80,124.145.111.217,41330,,1,0,1,0.0495,0,0,1,0,0.0099,0,0,0,0,1
124.145.111.217,41330,203.77.116.218,80,,1,1,0,0,0.0495,1,0,0.0099,0,0,0,1,0,0
150.57.248.121,80,111.230.217.47,51849,,1,0,1,0,0,0,1,0,0.1386,0,0,0,0,0.9901
111.230.217.47,51849,150.57.248.121,80,,1,1,0,0,0,1,0,0.1386,0,0,0,0.9901,0,0
202.198.44.196,443,219.236.166.193,52862,,0,0,1,0,0,0,1,0,0,0,0,0,0,1
